cell_id,x_coord,y_coord,collision_count,camera_count,mean_dist_to_camera,mean_precip,mean_snow,downtown,lambda
1285,619804.0,4849731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
1286,619804.0,4850231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
1287,619804.0,4850731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
1288,619804.0,4851231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
1289,619804.0,4851731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
1290,619804.0,4852231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
1291,619804.0,4852731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
1292,619804.0,4853231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
1293,619804.0,4853731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
1294,619804.0,4854231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
1295,619804.0,4854731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
1296,619804.0,4855231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
1297,619804.0,4855731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
1298,619804.0,4856231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
1299,619804.0,4856731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
1300,619804.0,4857231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
1301,619804.0,4857731.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
1302,620304.0,4827231.0,0,0,0.0,0.0,0.0,0,0.30943321184442535
1303,620304.0,4827731.0,15,0,757.921272982205,1.0133333333333334,0.41333333333333333,0,8.302564156497036
1304,620304.0,4828231.0,106,0,576.8846826181623,2.6283018867924524,0.3245283018867925,0,480.5221826267281
1305,620304.0,4828731.0,236,0,383.5765966699481,2.6783898305084746,0.5237288135593221,0,401.1823126310666
1306,620304.0,4829231.0,63,0,786.4178560354075,2.4047619047619047,0.5492063492063491,0,303.63502937092596
1307,620304.0,4829731.0,9,0,1260.9987360840028,1.2444444444444445,0.5555555555555556,0,24.8051406052914
1308,620304.0,4830231.0,84,0,996.4918975236915,3.364285714285714,0.9357142857142856,0,3898.493929250023
1309,620304.0,4830731.0,593,0,1312.314586594828,2.29831365935919,0.47824620573355814,0,427.1891207389755
1310,620304.0,4831231.0,809,0,1364.1867843176544,2.1002472187886276,0.26823238566131025,0,298.6175788372556
1311,620304.0,4831731.0,18,0,1906.445291840764,1.4888888888888887,0.26666666666666666,0,110.7075325809516
1312,620304.0,4832231.0,39,0,2302.5183275730756,2.3564102564102565,0.317948717948718,0,1616.4196242757819
1313,620304.0,4832731.0,67,0,2286.8886131957124,2.52089552238806,0.36119402985074633,0,2390.3332583485417
